timestamp,src,dst,proto,sport,dport,flags,length
1749828835.686551,0.0.0.0,255.255.255.255,DHCP options,68.0,67.0,,344
1749828835.687766,10.6.13.3,255.255.255.255,DHCP options,67.0,68.0,,342
1749828835.689030,0.0.0.0,255.255.255.255,DHCP options,68.0,67.0,,387
1749828835.690049,10.6.13.3,255.255.255.255,DHCP options,67.0,68.0,,342
1749828835.712625,,,Padding,,,,60
1749828835.712626,,,Padding,,,,60
1749828835.712627,10.6.13.133,10.6.13.3,DNS,61943.0,53.0,,81
1749828835.712981,10.6.13.3,10.6.13.133,DNS,53.0,61943.0,,160
1749828835.714176,10.6.13.133,10.6.13.3,DNS,52241.0,53.0,,92
1749828835.714359,10.6.13.133,10.6.13.3,DNS,53493.0,53.0,,81
1749828835.714360,10.6.13.3,10.6.13.133,DNS,53.0,52241.0,,171
1749828835.714361,10.6.13.133,224.0.0.252,Link Local Multicast Node Resolution - Query,54131.0,5355.0,,75
1749828835.714570,10.6.13.3,10.6.13.133,DNS,53.0,53493.0,,160
1749828835.715541,10.6.13.133,10.6.13.3,DNS,52241.0,53.0,,160
1749828835.717558,10.6.13.3,10.6.13.133,DNS,53.0,52241.0,,160
1749828835.734271,10.6.13.133,10.6.13.3,DNS,53493.0,53.0,,128
1749828835.734567,10.6.13.3,10.6.13.133,DNS,53.0,53493.0,,196
1749828835.734991,10.6.13.133,10.6.13.3,DNS,52241.0,53.0,,92
1749828835.735214,10.6.13.3,10.6.13.133,DNS,53.0,52241.0,,108
1749828835.735904,10.6.13.133,10.6.13.3,CLDAP,53497.0,389.0,,236
1749828835.735906,10.6.13.133,10.6.13.3,CLDAP,53497.0,389.0,,236
1749828835.736155,10.6.13.3,10.6.13.133,CLDAP,389.0,53497.0,,218
1749828835.736156,10.6.13.3,10.6.13.133,CLDAP,389.0,53497.0,,218
1749828835.780639,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828835.780641,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828835.780642,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828835.795110,,,Padding,,,,60
1749828835.843517,10.6.13.133,10.6.13.3,TCP,52427.0,389.0,S,66
1749828835.843520,10.6.13.3,10.6.13.133,TCP,389.0,52427.0,SA,66
1749828835.843854,10.6.13.133,10.6.13.3,Padding,52427.0,389.0,A,60
1749828835.844098,10.6.13.133,10.6.13.3,LDAP,52427.0,389.0,PA,398
1749828835.844998,10.6.13.3,10.6.13.133,Raw,389.0,52427.0,A,1514
1749828835.845000,10.6.13.3,10.6.13.133,Raw,389.0,52427.0,PA,1430
1749828835.845170,10.6.13.133,10.6.13.3,Padding,52427.0,389.0,A,60
1749828835.846395,10.6.13.133,10.6.13.3,TCP,52428.0,88.0,S,66
1749828835.846397,10.6.13.3,10.6.13.133,TCP,88.0,52428.0,SA,66
1749828835.846619,10.6.13.133,10.6.13.3,Padding,52428.0,88.0,A,60
1749828835.847018,10.6.13.133,10.6.13.3,Raw,52428.0,88.0,A,1514
1749828835.847020,10.6.13.133,10.6.13.3,Raw,52428.0,88.0,PA,503
1749828835.847021,10.6.13.3,10.6.13.133,Padding,88.0,52428.0,A,60
1749828835.850245,10.6.13.3,10.6.13.133,Raw,88.0,52428.0,A,1514
1749828835.850248,10.6.13.3,10.6.13.133,Raw,88.0,52428.0,PA,471
1749828835.850311,10.6.13.133,10.6.13.3,Padding,52428.0,88.0,A,60
1749828835.850345,10.6.13.133,10.6.13.3,Padding,52428.0,88.0,FA,60
1749828835.850560,10.6.13.3,10.6.13.133,Padding,88.0,52428.0,A,60
1749828835.850561,10.6.13.3,10.6.13.133,Padding,88.0,52428.0,RA,60
1749828835.851643,10.6.13.133,10.6.13.3,Raw,52427.0,389.0,A,1514
1749828835.851645,10.6.13.133,10.6.13.3,Raw,52427.0,389.0,PA,732
1749828835.851647,10.6.13.3,10.6.13.133,Padding,389.0,52427.0,A,60
1749828835.853280,10.6.13.3,10.6.13.133,LDAP,389.0,52427.0,PA,258
1749828835.853996,10.6.13.133,10.6.13.3,LDAP_SASL_Buffer,52427.0,389.0,PA,129
1749828835.854153,10.6.13.3,10.6.13.133,Padding,389.0,52427.0,RA,60
1749828835.854185,10.6.13.133,10.6.13.3,Padding,52427.0,389.0,FA,60
1749828835.854186,10.6.13.3,10.6.13.133,Padding,389.0,52427.0,R,60
1749828836.130896,10.6.13.133,224.0.0.252,Link Local Multicast Node Resolution - Query,54131.0,5355.0,,75
1749828836.299802,,,Padding,,,,60
1749828836.549289,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828836.549291,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828836.549293,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828836.800291,,,Padding,,,,60
1749828837.300297,,,Padding,,,,60
1749828837.300299,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828837.300301,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828837.300302,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828837.795754,,,Padding,,,,60
1749828838.051021,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828838.051023,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828838.051025,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828838.051175,10.6.13.133,239.255.255.250,Raw,53495.0,1900.0,,179
1749828838.306175,,,Padding,,,,60
1749828838.798773,,,Padding,,,,60
1749828838.847524,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828839.017720,10.6.13.133,239.255.255.250,Raw,53495.0,1900.0,,179
1749828839.050782,10.6.13.133,239.255.255.250,Raw,53495.0,1900.0,,179
1749828839.598838,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828839.870499,10.6.13.133,10.6.13.3,DNS,65196.0,53.0,,94
1749828839.912991,10.6.13.3,10.6.13.133,DNS,53.0,65196.0,,204
1749828839.913941,,,Padding,,,,60
1749828839.913942,,,Padding,,,,60
1749828839.914014,10.6.13.133,173.222.52.33,TCP,52429.0,443.0,S,66
1749828839.954220,173.222.52.33,10.6.13.133,TCP,443.0,52429.0,SA,66
1749828839.954563,10.6.13.133,173.222.52.33,Padding,52429.0,443.0,A,60
1749828839.955570,10.6.13.133,173.222.52.33,Raw,52429.0,443.0,PA,271
1749828839.994822,10.6.13.133,10.6.13.3,CLDAP,65197.0,389.0,,236
1749828839.995041,10.6.13.3,10.6.13.133,CLDAP,389.0,65197.0,,218
1749828840.003370,173.222.52.33,10.6.13.133,Padding,443.0,52429.0,A,60
1749828840.003371,173.222.52.33,10.6.13.133,Raw,443.0,52429.0,A,1430
1749828840.003558,173.222.52.33,10.6.13.133,Raw,443.0,52429.0,PA,1430
1749828840.003559,173.222.52.33,10.6.13.133,Raw,443.0,52429.0,PA,1398
1749828840.003560,10.6.13.133,173.222.52.33,Padding,52429.0,443.0,A,60
1749828840.014420,173.222.52.33,10.6.13.133,Raw,443.0,52429.0,A,1430
1749828840.014592,10.6.13.133,173.222.52.33,Padding,52429.0,443.0,A,60
1749828840.031516,173.222.52.33,10.6.13.133,Raw,443.0,52429.0,PA,583
1749828840.033288,10.6.13.133,173.222.52.33,Raw,52429.0,443.0,PA,180
1749828840.061409,173.222.52.33,10.6.13.133,Raw,443.0,52429.0,PA,344
1749828840.062281,10.6.13.133,173.222.52.33,Raw,52429.0,443.0,PA,388
1749828840.102980,173.222.52.33,10.6.13.133,Raw,443.0,52429.0,A,1430
1749828840.102982,173.222.52.33,10.6.13.133,Padding,443.0,52429.0,PA,60
1749828840.102983,10.6.13.133,173.222.52.33,Padding,52429.0,443.0,A,60
1749828840.109090,10.6.13.133,10.6.13.3,DNS,65196.0,53.0,,92
1749828840.152757,10.6.13.3,10.6.13.133,DNS,53.0,65196.0,,179
1749828840.153463,10.6.13.133,52.156.123.84,TCP,52430.0,443.0,S,66
1749828840.233846,52.156.123.84,10.6.13.133,TCP,443.0,52430.0,SA,66
1749828840.234081,10.6.13.133,52.156.123.84,Padding,52430.0,443.0,A,60
1749828840.235008,10.6.13.133,52.156.123.84,Raw,52430.0,443.0,PA,269
1749828840.321961,52.156.123.84,10.6.13.133,Raw,443.0,52430.0,A,1430
1749828840.323861,52.156.123.84,10.6.13.133,Raw,443.0,52430.0,PA,1110
1749828840.323863,10.6.13.133,52.156.123.84,Padding,52430.0,443.0,A,60
1749828840.325704,10.6.13.133,52.156.123.84,Raw,52430.0,443.0,PA,212
1749828840.362625,10.6.13.133,10.6.13.255,NBNS registration request,137.0,137.0,,110
1749828840.380409,10.6.13.133,10.6.13.3,DNS,61884.0,53.0,,81
1749828840.380577,10.6.13.3,10.6.13.133,DNS,53.0,61884.0,,160
1749828840.380578,10.6.13.133,10.6.13.3,DNS,65196.0,53.0,,81
1749828840.380782,10.6.13.3,10.6.13.133,DNS,53.0,65196.0,,160
1749828840.403310,10.6.13.133,10.6.13.3,DNS,61884.0,53.0,,83
1749828840.413803,52.156.123.84,10.6.13.133,Raw,443.0,52430.0,PA,105
1749828840.413804,52.156.123.84,10.6.13.133,Raw,443.0,52430.0,PA,123
1749828840.413805,10.6.13.133,52.156.123.84,Padding,52430.0,443.0,A,60
1749828840.414623,10.6.13.133,52.156.123.84,Raw,52430.0,443.0,PA,141
1749828840.414624,10.6.13.133,52.156.123.84,Raw,52430.0,443.0,PA,228
1749828840.414625,10.6.13.133,52.156.123.84,Raw,52430.0,443.0,PA,92
1749828840.442333,10.6.13.3,10.6.13.133,DNS,53.0,61884.0,,227
1749828840.442738,10.6.13.133,23.192.223.206,TCP,52431.0,80.0,S,66
1749828840.479695,23.192.223.206,10.6.13.133,TCP,80.0,52431.0,SA,66
1749828840.479703,10.6.13.133,23.192.223.206,Padding,52431.0,80.0,A,60
